"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
143,"228-30",523,-172.9330743,52.27374631
148,"226-30",523,-173.0844554,52.27456688
143,"235-37",523,-172.4047115,52.56849483
148,"229-30",523,-172.8586408,52.27467732
143,"219-35",523,-173.5972144,52.466081
148,"250-44",523,-171.2797989,52.87753611
143,"238-35",523,-172.1819742,52.47797913
148,"217-34",523,-173.757202,52.4399532
143,"232-33",523,-172.6472749,52.38917076
148,"221-36",523,-173.4635491,52.52929311
143,"261-45",523,-170.4521704,52.92215851
148,"246-38",594,-171.5696062,52.61075873
143,"183-25",594,-176.317917,52.05144258
148,"226-31",594,-173.0868099,52.29760673
143,"211-25",611,-174.2123746,52.03922452
148,"213-24",611,-174.0615051,51.99449494
143,"213-21",612,-174.0583606,51.86860932
148,"198-21",612,-175.189237,51.8635401
143,"212-21",612,-174.1377853,51.86958157
148,"199-21",612,-175.1140562,51.86354015
143,"192-20",612,-175.6403325,51.81997431
148,"184-16",612,-176.2445106,51.6621414
143,"206-21",612,-174.5877806,51.86354004
148,"177-14",612,-176.7700191,51.56368035
143,"193-20",612,-175.5651449,51.81997444
148,"193-21",612,-175.5651445,51.86354014
143,"191-20",612,-175.7155118,51.81997441
148,"191-21",612,-175.7155121,51.86354022
143,"195-19",613,-175.4164041,51.77950113
148,"182-15",613,-176.3932398,51.61036035
143,"204-20",613,-174.7383428,51.82238253
148,"198-20",613,-175.1872764,51.81332226
143,"201-20",613,-174.9643741,51.81985334
148,"182-15",614,-176.3919142,51.59371628
143,"179-13",614,-176.637552,51.53201229
148,"249-34",621,-171.329561,52.43322497
143,"217-24",621,-173.7607851,51.99449486
148,"216-23",621,-173.8336307,51.95079944
143,"218-24",621,-173.6856048,51.99449498
148,"219-23",621,-173.6114978,51.9604849
143,"217-23",621,-173.7612056,51.95165607
148,"258-37",621,-170.680748,52.57221384
143,"250-33",621,-171.2779002,52.40696224
148,"217-22",622,-173.7606033,51.90677769
143,"235-27",622,-172.4075136,52.12583499
148,"214-23",622,-173.976083,51.94813223
143,"218-23",622,-173.6844942,51.93418926
148,"231-28",622,-172.7069567,52.17892133
143,"216-22",622,-173.8367758,51.90711532
148,"259-36",622,-170.6052622,52.53390435
143,"232-24",622,-172.6330539,51.99449486
148,"233-26",622,-172.5308146,52.06180165
143,"232-28",622,-172.6306341,52.17090862
