VESSEL,STATIONID,STRATUM,LONGITUDE,LATITUDE
176,139-29,314,-179.6362525,52.21836151
V2,137-25,314,-179.7734468,52.04031101
176,103-24,321,177.6668434,51.99449481
V2,153-16,321,-178.5841807,51.63465639
176,100-24,321,177.4441865,51.9989735
V2,113-22,321,178.4243799,51.91815304
176,104-24,321,177.736697,51.99088772
V2,158-19,321,-178.1752511,51.76183925
176,110-24,321,178.1991647,51.99672975
V2,111-20,321,178.2732971,51.83366413
176,111-21,321,178.2598264,51.85960503
V2,111-23,321,178.27441,51.96176641
176,159-18,321,-178.1239575,51.7281343
V2,174-22,321,-177.0186132,51.91065829
176,97-26,321,177.2199411,52.06499583
V2,105-24,322,177.8388193,51.97367234
176,111-22,322,178.2694068,51.89194406
V2,159-19,322,-178.1255053,51.77644876
176,99-25,322,177.3783016,52.02399131
V2,99-26,322,177.360716,52.08200959
176,158-19,322,-178.184088,51.77132896
V2,112-21,322,178.3388968,51.87548976
176,98-26,322,177.3062989,52.07181022
V2,149-15,323,-178.8700554,51.60621706
176,109-22,323,178.1218041,51.90880714
V2,108-24,323,178.0377885,51.99449469
176,145-15,323,-179.1367972,51.59329434
V2,112-25,323,178.3420888,52.05199592
176,154-16,323,-178.5048037,51.64865198
V2,110-22,323,178.1969719,51.90202372
176,114-21,323,178.4880876,51.87501913
V2,105-25,323,177.8393471,52.05408597
176,112-21,323,178.3565035,51.85411578
V2,157-17,323,-178.2982224,51.67785849
176,110-24,323,178.1694017,51.97812794
V2,110-23,324,178.180924,51.94856977
176,115-21,324,178.5683839,51.87324781
V2,113-21,324,178.4102402,51.85804015
176,114-25,324,178.4957959,52.04770786
V2,100-21,411,177.4370653,51.87158416
176,103-21,411,177.6656844,51.86742268
V2,124-7,411,179.2456217,51.27266893
176,104-20,412,177.7436866,51.8199745
V2,112-17,412,178.3394927,51.68951939
176,118-11,412,178.7987563,51.44594721
V2,105-18,412,177.820753,51.7504422
176,,412,,
V2,125-7,412,179.3204404,51.2687691
176,126-8,412,179.3932267,51.30708136
V2,113-16,412,178.4270984,51.63609398
176,106-18,412,177.895746,51.74579327
V2,111-17,412,178.2699618,51.68951957
176,104-21,412,177.7409355,51.86051155
V2,102-20,412,177.5946922,51.82534402
176,99-19,412,177.3691401,51.77460986
V2,,412,,
176,107-18,412,177.9726945,51.73837889
V2,120-9,412,178.9543669,51.34999969
176,119-9,412,178.9019307,51.36203853
V2,116-13,412,178.6443019,51.51314635
176,123-7,412,179.1696977,51.26014112
V2,104-19,412,177.7458154,51.78469296
176,113-15,412,178.4417907,51.60276164
V2,118-11,413,178.7950374,51.43111909
176,119-11,413,178.8532032,51.41672636
V2,112-16,413,178.3383169,51.64102746
176,104-19,413,177.7462367,51.76298078
V2,116-12,413,178.644892,51.48101655
176,103-19,413,177.6692408,51.77801679
V2,106-18,413,177.8948518,51.72682722
176,98-18,414,177.2954978,51.72190909
V2,109-16,414,178.1192001,51.64250267
176,147-7,421,-179.0461204,51.25736517
V2,160-15,421,-178.0476596,51.61282267
176,171-17,421,-177.2179103,51.68607766
V2,158-16,421,-178.1869126,51.65193515
176,160-16,421,-178.0514157,51.64611966
V2,153-16,421,-178.5712418,51.6283142
176,164-16,421,-177.7454034,51.64611959
V2,159-14,422,-178.1186134,51.57358508
176,156-14,422,-178.3594282,51.55944525
V2,155-16,422,-178.4414425,51.62838632
176,172-16,422,-177.1485181,51.65400271
V2,147-6,422,-179.0235102,51.21440261
176,152-13,422,-178.6472295,51.51483103
V2,168-16,422,-177.4452816,51.64713995
176,160-14,422,-178.0473144,51.57681136
V2,161-14,422,-177.9672447,51.55454349
176,157-15,422,-178.2419154,51.61149918
V2,153-13,422,-178.5701499,51.51320027
176,171-15,423,-177.2159106,51.59441727
V2,172-15,423,-177.1610654,51.61328797
176,159-14,423,-178.1195226,51.56161076
V2,,423,,
176,167-15,423,-177.5194651,51.60474354
V2,155-11,424,-178.4221266,51.4344802
176,166-14,424,-177.5976893,51.55818202
V2,181-23,511,-176.4900792,51.95079705
176,189-26,511,-175.8918154,52.09159252
V2,196-27,512,-175.3441493,52.12583487
176,199-27,512,-175.1167629,52.14352142
V2,204-30,512,-174.7381487,52.25756025
176,182-23,512,-176.3921334,51.95079938
V2,206-32,512,-174.5860554,52.34226727
176,204-31,513,-174.738213,52.30949987
V2,200-29,513,-175.0242575,52.19784707
176,198-28,513,-175.1890954,52.17350759
V2,201-29,513,-174.9632395,52.21284357
176,202-29,513,-174.914801,52.23031613
V2,176-22,513,-176.8728221,51.90903829
176,215-32,521,-173.939645,52.34165005
V2,257-39,521,-170.7642468,52.66327635
176,265-48,522,-170.1520673,53.05630614
V2,215-29,522,-173.9111457,52.21360729
176,221-30,522,-173.457112,52.25756023
V2,218-30,522,-173.6856054,52.25756013
176,229-30,522,-172.8584452,52.25298338
V2,249-43,522,-171.354979,52.83295938
176,259-41,522,-170.6025622,52.75018918
V2,222-30,522,-173.3848776,52.25756023
176,228-30,522,-172.9333703,52.2516995
V2,224-30,522,-173.2354891,52.25398717
176,,522,,
V2,266-46,522,-170.078248,52.97017556
176,216-33,522,-173.8359654,52.38967838
V2,232-33,522,-172.6244202,52.38960629
176,227-30,522,-173.0101077,52.25563619
V2,265-49,522,-170.1401036,53.08242484
176,225-30,522,-173.1577068,52.25114144
V2,,522,,
176,219-35,522,-173.5872521,52.47864152
V2,256-40,522,-170.8217074,52.687106
176,216-31,522,-173.8359645,52.30155701
V2,216-34,522,-173.8328538,52.41996657
176,214-29,522,-173.9736973,52.21228581
V2,229-29,522,-172.8586013,52.2136072
176,216-29,522,-173.8359651,52.21360735
V2,217-34,522,-173.7712456,52.42581163
176,260-41,522,-170.5286303,52.73313726
V2,262-47,523,-170.3761381,53.00800541
176,235-37,523,-172.4047115,52.56849483
V2,247-43,523,-171.5059496,52.83295952
176,221-36,523,-173.4635491,52.52929311
V2,236-36,523,-172.3260267,52.53817876
176,262-46,523,-170.3818249,52.96682849
V2,223-37,523,-173.2981834,52.54530922
176,248-43,523,-171.4301508,52.83295944
V2,228-30,523,-172.9330743,52.27374631
176,226-31,523,-173.0960675,52.28265467
V2,257-41,523,-170.7490429,52.73174285
176,249-44,523,-171.354937,52.87744227
V2,232-33,523,-172.6472749,52.38917076
176,261-45,523,-170.4521704,52.92215851
V2,229-30,523,-172.8586408,52.27467732
176,217-34,523,-173.757202,52.4399532
V2,262-45,523,-170.3781485,52.92215855
176,237-36,523,-172.254361,52.52040353
V2,247-42,523,-171.5053309,52.7884305
176,220-36,523,-173.5324066,52.50852731
V2,219-35,523,-173.5972144,52.466081
176,224-30,523,-173.2330585,52.27462002
V2,226-30,523,-173.0844554,52.27456688
176,236-37,523,-172.3279946,52.55783019
V2,225-30,523,-173.1587935,52.27284252
176,220-35,523,-173.536002,52.48587639
V2,237-39,594,-172.2599908,52.65511072
176,,594,,
V2,222-31,594,-173.3844581,52.30302489
176,197-23,611,-175.2667873,51.9584837
V2,192-23,611,-175.6394988,51.94783023
176,207-22,612,-174.512601,51.90714775
